trace,time,uid,subtype,type,amount,ncalls,snapshots
"main.main.func2,main.Greet",10202068672,main.getCurrentCPUID,Total Exclusive T [ms],time,6.019062,5,0
"main.main.func2,main.Greet",10202068672,main.getCurrentCPUID,Total Exclusive T [%],time,0.0005899844623198396,5,0
"main.main.func2,main.Greet",10202068672,main.getCurrentCPUID,Total Morestack T [ms],time,2.204062,5,0
"main.main.func2,main.Greet",10202068672,main.getCurrentCPUID,Total Morestack T [%],time,0.00021604069437888997,5,0
"main.main.func2,main.Greet",10202068672,main.getCurrentCPUID,I Mean,time,1.2038124,5,0
"main.main.func2,main.Greet",10202068672,main.getCurrentCPUID,E Mean,time,1.2038124,5,0
"main.main.func2,main.Greet",10202068672,main.getCurrentCPUID,I Min,time,126180.0,5,0
"main.main.func2,main.Greet",10202068672,main.getCurrentCPUID,E Min,time,126180.0,5,0
"main.main.func2,main.Greet",10202068672,main.getCurrentCPUID,I Max,time,2817407.0,5,0
"main.main.func2,main.Greet",10202068672,main.getCurrentCPUID,E Max,time,2817407.0,5,0
"main.main.func1,main.Greet,main.add",10202068672,main.getCurrentCPUID,Callees [#],time,0.0,10,0
"main.main.func1,main.Greet,main.add",10202068672,main.getCurrentCPUID,Callees Mean [#],time,0.0,10,0
"main.main.func1,main.Greet,main.add",10202068672,main.getCurrentCPUID,Total Inclusive T [ms],time,5.503841,10,0
"main.main.func1,main.Greet,main.add",10202068672,main.getCurrentCPUID,Total Inclusive T [%],time,0.0005394828418578988,10,0
"main.main.func1,main.Greet,main.add",10202068672,main.getCurrentCPUID,Total Exclusive T [ms],time,5.503841,10,0
"main.main.func1,main.Greet,main.add",10202068672,main.getCurrentCPUID,Total Exclusive T [%],time,0.0005394828418578988,10,0
"main.main.func1,main.Greet,main.add",10202068672,main.getCurrentCPUID,Total Morestack T [ms],time,0.0,10,0
"main.main.func1,main.Greet,main.add",10202068672,main.getCurrentCPUID,Total Morestack T [%],time,0.0,10,0
"main.main.func1,main.Greet,main.add",10202068672,main.getCurrentCPUID,I Mean,time,0.5503840999999999,10,0
"main.main.func1,main.Greet,main.add",10202068672,main.getCurrentCPUID,E Mean,time,0.5503840999999999,10,0
"main.main.func1,main.Greet,main.add",10202068672,main.getCurrentCPUID,I Min,time,123199.0,10,0
"main.main.func1,main.Greet,main.add",10202068672,main.getCurrentCPUID,E Min,time,123199.0,10,0
"main.main.func1,main.Greet,main.add",10202068672,main.getCurrentCPUID,I Max,time,1547430.0,10,0
"main.main.func1,main.Greet,main.add",10202068672,main.getCurrentCPUID,E Max,time,1547430.0,10,0
"main.main.func2,main.Greet,main.add",10202068672,main.getGoroutineID,Callees [#],time,0.0,5,0
"main.main.func2,main.Greet,main.add",10202068672,main.getGoroutineID,Callees Mean [#],time,0.0,5,0
"main.main.func2,main.Greet,main.add",10202068672,main.getGoroutineID,Total Inclusive T [ms],time,5.284276,5,0
"main.main.func2,main.Greet,main.add",10202068672,main.getGoroutineID,Total Inclusive T [%],time,0.0005179612262856957,5,0
"main.main.func2,main.Greet,main.add",10202068672,main.getGoroutineID,Total Exclusive T [ms],time,5.284276,5,0
"main.main.func2,main.Greet,main.add",10202068672,main.getGoroutineID,Total Exclusive T [%],time,0.0005179612262856957,5,0
"main.main.func2,main.Greet,main.add",10202068672,main.getGoroutineID,Total Morestack T [ms],time,1.437322,5,0
"main.main.func2,main.Greet,main.add",10202068672,main.getGoroutineID,Total Morestack T [%],time,0.00014088534847298077,5,0
"main.main.func2,main.Greet,main.add",10202068672,main.getGoroutineID,I Mean,time,1.0568552,5,0
